pub_id,a_lead_id,a_contributing_id,a_year,a_date,a_publisher,a_pub_name,a_doi,a_isxn,a_scopus
36,145,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
36,12,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
36,24,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
36,119,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
37,145,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
37,65,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
37,105,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
37,108,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
38,145,,2018,,,International Journal of Life Cycle Assessment 23 (10): 1928–1939,,,
38,147,,2018,,,International Journal of Life Cycle Assessment 23 (10): 1928–1939,,,
38,152,,2018,,,International Journal of Life Cycle Assessment 23 (10): 1928–1939,,,
38,35,,2018,,,International Journal of Life Cycle Assessment 23 (10): 1928–1939,,,
38,63,,2018,,,International Journal of Life Cycle Assessment 23 (10): 1928–1939,,,
39,145,,2018,,,"Philippine Engineering Journal. Vol. 39, No. 1",,,
39,152,,2018,,,"Philippine Engineering Journal. Vol. 39, No. 1",,,
39,153,,2018,,,"Philippine Engineering Journal. Vol. 39, No. 1",,,
40,145,,2018,,,591-602,10.1007/978-3-319-60492-3_56.,,
40,27,,2018,,,591-602,10.1007/978-3-319-60492-3_56.,,
40,66,,2018,,,591-602,10.1007/978-3-319-60492-3_56.,,
40,92,,2018,,,591-602,10.1007/978-3-319-60492-3_56.,,
40,107,,2018,,,591-602,10.1007/978-3-319-60492-3_56.,,
41,145,,2018,,,114-123,10.1007/978-3-319-60825-9_14.,,
41,57,,2018,,,114-123,10.1007/978-3-319-60825-9_14.,,
41,98,,2018,,,114-123,10.1007/978-3-319-60825-9_14.,,
41,120,,2018,,,114-123,10.1007/978-3-319-60825-9_14.,,
42,148,,2014,"May 01, 2014",,Chinese Business Review,,,
42,113,,2014,"May 01, 2014",,Chinese Business Review,,,
43,148,,2014,"December 01, 2014",,Journal of the Philippine Institute of Industrial Engineers. Vol. 11 No. 2,,,
43,25,,2014,"December 01, 2014",,Journal of the Philippine Institute of Industrial Engineers. Vol. 11 No. 2,,,
44,148,,2015,"November 01, 2015",,Procedia Manufacturing,,,
44,107,,2015,"November 01, 2015",,Procedia Manufacturing,,,
45,148,,2015,"November 01, 2015",,Procedia Manufacturing,,,
45,113,,2015,"November 01, 2015",,Procedia Manufacturing,,,
46,148,,2015,"July 01, 2015",,"EURO 2015, Glasgow",,,
47,148,,2016,"January 01, 2016",,"Chinese Business Review, online",,,
47,43,,2016,"January 01, 2016",,"Chinese Business Review, online",,,
47,114,,2016,"January 01, 2016",,"Chinese Business Review, online",,,
47,115,,2016,"January 01, 2016",,"Chinese Business Review, online",,,
48,148,,2017,"December 01, 2017",,Philippine Engineering Journal 38(2),,,
48,4,,2017,"December 01, 2017",,Philippine Engineering Journal 38(2),,,
48,7,,2017,"December 01, 2017",,Philippine Engineering Journal 38(2),,,
49,148,,2018,,,"Philippine Engineering Journal 39(2), 17-26",,,
49,23,,2018,,,"Philippine Engineering Journal 39(2), 17-26",,,
49,153,,2018,,,"Philippine Engineering Journal 39(2), 17-26",,,
50,146,,2014,"July 01, 2014","Proceedings of the 5th AHFE Conference, July 19-23, 2014, Krakow, Poland",,,,
50,33,,2014,"July 01, 2014","Proceedings of the 5th AHFE Conference, July 19-23, 2014, Krakow, Poland",,,,
50,88,,2014,"July 01, 2014","Proceedings of the 5th AHFE Conference, July 19-23, 2014, Krakow, Poland",,,,
50,111,,2014,"July 01, 2014","Proceedings of the 5th AHFE Conference, July 19-23, 2014, Krakow, Poland",,,,
51,145,,2014,"July 01, 2014","Proceedings of the 5th AHFE Conference, July 19-23, 2014, Krakow, Poland",,,,
51,146,,2014,"July 01, 2014","Proceedings of the 5th AHFE Conference, July 19-23, 2014, Krakow, Poland",,,,
52,146,,2015,"June 01, 2015","Paper
presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
52,31,,2015,"June 01, 2015","Paper
presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
52,34,,2015,"June 01, 2015","Paper
presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
52,69,,2015,"June 01, 2015","Paper
presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
52,71,,2015,"June 01, 2015","Paper
presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
52,80,,2015,"June 01, 2015","Paper
presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
52,132,,2015,"June 01, 2015","Paper
presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
52,140,,2015,"June 01, 2015","Paper
presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
53,146,,2015,"June 01, 2015","Paper presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
53,31,,2015,"June 01, 2015","Paper presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
53,34,,2015,"June 01, 2015","Paper presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
53,69,,2015,"June 01, 2015","Paper presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
53,71,,2015,"June 01, 2015","Paper presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
53,80,,2015,"June 01, 2015","Paper presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
53,103,,2015,"June 01, 2015","Paper presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
53,140,,2015,"June 01, 2015","Paper presented at the ISCOME conference, Montecatini Terme, Italy, June 15-16, 2015",,,,
54,146,,2015,"July 01, 2015","Paper presented at the 6th AHFE Conference, July 27-30, 2015, Las Vegas, NV",,,,
54,126,,2015,"July 01, 2015","Paper presented at the 6th AHFE Conference, July 27-30, 2015, Las Vegas, NV",,,,
55,146,,2015,,,"Procedia Manufacturing 3, 340-345",,,
55,153,,2015,,,"Procedia Manufacturing 3, 340-345",,,
55,75,,2015,,,"Procedia Manufacturing 3, 340-345",,,
56,146,,2015,,,"Procedia Manufacturing 3, 332-339",,,
56,153,,2015,,,"Procedia Manufacturing 3, 332-339",,,
56,122,,2015,,,"Procedia Manufacturing 3, 332-339",,,
57,146,,2015,,,"Procedia Manufacturing, 3, 3266-3273",,,
57,58,,2015,,,"Procedia Manufacturing, 3, 3266-3273",,,
57,118,,2015,,,"Procedia Manufacturing, 3, 3266-3273",,,
57,144,,2015,,,"Procedia Manufacturing, 3, 3266-3273",,,
58,146,,2016,,,Journal of the Philippine Industrial Engineers (JPIIE),,,
58,153,,2016,,,Journal of the Philippine Industrial Engineers (JPIIE),,,
59,146,,2018,,,Geriatrics 2018,,,
59,78,,2018,,,Geriatrics 2018,,,
59,104,,2018,,,Geriatrics 2018,,,
60,147,,2016,,,Philippine Engineering Journal 2016,,,
60,149,,2016,,,Philippine Engineering Journal 2016,,,
60,152,,2016,,,Philippine Engineering Journal 2016,,,
61,149,,2017,,,Philippine Engineering Journal 2017,,,
61,102,,2017,,,Philippine Engineering Journal 2017,,,
62,150,,2014,"October 01, 2014",,European Journal of Operational Research,10.1016/j.ejor.2014.03.032,ISSN 0377-2217,
62,128,,2014,"October 01, 2014",,European Journal of Operational Research,10.1016/j.ejor.2014.03.032,,
62,142,,2014,"October 01, 2014",,European Journal of Operational Research,10.1016/j.ejor.2014.03.032,,
63,150,,2014,,,Information Sciences 270 (2014): 192-203,,,
63,128,,2014,,,Information Sciences 270 (2014): 192-203,,,
63,142,,2014,,,Information Sciences 270 (2014): 192-203,,,
64,150,,2014,,,"The Journal of Defense Modeling and Simulation: Applications, Methodology, Technology 13.2 (2014): 139-151",,,
64,37,,2014,,,"The Journal of Defense Modeling and Simulation: Applications, Methodology, Technology 13.2 (2014): 139-151",,,
64,139,,2014,,,"The Journal of Defense Modeling and Simulation: Applications, Methodology, Technology 13.2 (2014): 139-151",,,
64,141,,2014,,,"The Journal of Defense Modeling and Simulation: Applications, Methodology, Technology 13.2 (2014): 139-151",,,
64,142,,2014,,,"The Journal of Defense Modeling and Simulation: Applications, Methodology, Technology 13.2 (2014): 139-151",,,
65,150,,2014,"August 01, 2014","The Third International Conference on Data Analytics  August 24 - 28, 2014 - Rome, Italy 33-41",,,,
65,48,,2014,"August 01, 2014","The Third International Conference on Data Analytics  August 24 - 28, 2014 - Rome, Italy 33-41",,,,
66,150,,2015,,,Procedia Manufacturing 3 (2015): 3494-3497,,,
67,150,,2015,,,Journal of the Philippine Institute of Industrial Engineers,,,
67,51,,2015,,,Journal of the Philippine Institute of Industrial Engineers,,,
68,150,,2015,,,Journal of the Philippine Institute of Industrial Engineers,,,
68,40,,2015,,,Journal of the Philippine Institute of Industrial Engineers,,,
69,150,,2015,,,"2015 AHFE Conference, Las Vegas Nevada",,,
70,150,,2016,,,Journal of the Philippine Institute of Industrial Engineers,,,
70,11,,2016,,,Journal of the Philippine Institute of Industrial Engineers,,,
71,150,,2016,,,"Proceedings of the Data Analytics 2016: The Fifth International Conference on Data Analytics, Rome Italy",,,
72,150,,2017,,,Proceedings of 2017 FSDM Conference,,,
72,79,,2017,,,Proceedings of 2017 FSDM Conference,,,
73,151,,2017,,,WCE 2017. Vol 1 pp50-56,,,
74,148,,2016,,"U.P. Engineering Research and Development Foundation, Inc. for National Engineering Center","Philippine Engineering Journal (PEJ) 2016. Vol. 37, No. 1: pp. 45-62.",,,
74,149,,2016,,"U.P. Engineering Research and Development Foundation, Inc. for National Engineering Center","Philippine Engineering Journal (PEJ) 2016. Vol. 37, No. 1: pp. 45-62.",,,
74,152,,2016,,"U.P. Engineering Research and Development Foundation, Inc. for National Engineering Center","Philippine Engineering Journal (PEJ) 2016. Vol. 37, No. 1: pp. 45-62.",,,
75,145,,2016,"July 01, 2016","Proceedings of the AHFE 2016 International Conference on Safety Management and Human Factors, July 27-31, 2016, Walt Disney World®, Florida, USA. Springer International Publishing Switzerland 2016","Advances in Safety Management and Human Factors, Volume 491 of the series Advances in Intelligent Systems and Computing pp 495-501,
",10.1007/978-3-319-41929-9_45,,
75,152,,2016,"July 01, 2016","Proceedings of the AHFE 2016 International Conference on Safety Management and Human Factors, July 27-31, 2016, Walt Disney World®, Florida, USA. Springer International Publishing Switzerland 2016","Advances in Safety Management and Human Factors, Volume 491 of the series Advances in Intelligent Systems and Computing pp 495-501,
",10.1007/978-3-319-41929-9_45,,
75,153,,2016,"July 01, 2016","Proceedings of the AHFE 2016 International Conference on Safety Management and Human Factors, July 27-31, 2016, Walt Disney World®, Florida, USA. Springer International Publishing Switzerland 2016","Advances in Safety Management and Human Factors, Volume 491 of the series Advances in Intelligent Systems and Computing pp 495-501,
",10.1007/978-3-319-41929-9_45,,
75,6,,2016,"July 01, 2016","Proceedings of the AHFE 2016 International Conference on Safety Management and Human Factors, July 27-31, 2016, Walt Disney World®, Florida, USA. Springer International Publishing Switzerland 2016","Advances in Safety Management and Human Factors, Volume 491 of the series Advances in Intelligent Systems and Computing pp 495-501,
",10.1007/978-3-319-41929-9_45,,
76,148,,2016,"May 01, 2016","International Symposium on Sustainable Systems and Technology, 17 May 2016, Renaissance Phoenix Downtown Hotel, Phoenix, AZ, USA.",,,,
76,152,,2016,"May 01, 2016","International Symposium on Sustainable Systems and Technology, 17 May 2016, Renaissance Phoenix Downtown Hotel, Phoenix, AZ, USA.",,,,
76,44,,2016,"May 01, 2016","International Symposium on Sustainable Systems and Technology, 17 May 2016, Renaissance Phoenix Downtown Hotel, Phoenix, AZ, USA.",,,,
77,145,,2017,,Springer Berlin Heidelberg,"The International Journal of Life Cycle Assessment (IJLCA). 23(10), 1928-1939. ",10.1007/s11367-017-1425-5,"Print ISSN 0948-3349, Online ISSN 1614-7502.",
77,148,,2017,,Springer Berlin Heidelberg,"The International Journal of Life Cycle Assessment (IJLCA). 23(10), 1928-1939. ",10.1007/s11367-017-1425-5,"Print ISSN 0948-3349, Online ISSN 1614-7502.",
77,152,,2017,,Springer Berlin Heidelberg,"The International Journal of Life Cycle Assessment (IJLCA). 23(10), 1928-1939. ",10.1007/s11367-017-1425-5,"Print ISSN 0948-3349, Online ISSN 1614-7502.",
77,35,,2017,,Springer Berlin Heidelberg,"The International Journal of Life Cycle Assessment (IJLCA). 23(10), 1928-1939. ",10.1007/s11367-017-1425-5,"Print ISSN 0948-3349, Online ISSN 1614-7502.",
77,63,,2017,,Springer Berlin Heidelberg,"The International Journal of Life Cycle Assessment (IJLCA). 23(10), 1928-1939. ",10.1007/s11367-017-1425-5,"Print ISSN 0948-3349, Online ISSN 1614-7502.",
78,152,,2017,,"U.P. Engineering Research and Development Foundation, Inc. for National Engineering Center","Philippine Engineering Journal (PEJ) 2017; Vol 38, No 2: pp. 79-98, ",,,
78,131,,2017,,"U.P. Engineering Research and Development Foundation, Inc. for National Engineering Center","Philippine Engineering Journal (PEJ) 2017; Vol 38, No 2: pp. 79-98, ",,,
79,148,,2017,"July 01, 2017","Springer International Publishing AG 2018 . Proceedings of the 8th International Conference on Applied Human Factors and Ergonomics (AHFE 2017), July 17 – 21, 2017 at the Westin Bonaventure Hotel, Los Angeles, California, USA.","Advances in Safety Management and Human Factors, Advances in Intelligent Systems and Computing 604. ",10.1007/978-3-319-60525-8_38,,
79,152,,2017,"July 01, 2017","Springer International Publishing AG 2018 . Proceedings of the 8th International Conference on Applied Human Factors and Ergonomics (AHFE 2017), July 17 – 21, 2017 at the Westin Bonaventure Hotel, Los Angeles, California, USA.","Advances in Safety Management and Human Factors, Advances in Intelligent Systems and Computing 604. ",10.1007/978-3-319-60525-8_38,,
79,17,,2017,"July 01, 2017","Springer International Publishing AG 2018 . Proceedings of the 8th International Conference on Applied Human Factors and Ergonomics (AHFE 2017), July 17 – 21, 2017 at the Westin Bonaventure Hotel, Los Angeles, California, USA.","Advances in Safety Management and Human Factors, Advances in Intelligent Systems and Computing 604. ",10.1007/978-3-319-60525-8_38,,
80,152,,2017,"July 01, 2017","Springer International Publishing AG 2018. Proceedings of the 8th International Conference on Applied Human Factors and Ergonomics (AHFE 2017), July 17 – 21, 2017 at the Westin Bonaventure Hotel, Los Angeles, California, USA.","Advances in Ergonomics in Design, Advances in Intelligent Systems and Computing 588.",10.1007/978-3-319-60582-1_86,,
80,17,,2017,"July 01, 2017","Springer International Publishing AG 2018. Proceedings of the 8th International Conference on Applied Human Factors and Ergonomics (AHFE 2017), July 17 – 21, 2017 at the Westin Bonaventure Hotel, Los Angeles, California, USA.","Advances in Ergonomics in Design, Advances in Intelligent Systems and Computing 588.",10.1007/978-3-319-60582-1_86,,
80,110,,2017,"July 01, 2017","Springer International Publishing AG 2018. Proceedings of the 8th International Conference on Applied Human Factors and Ergonomics (AHFE 2017), July 17 – 21, 2017 at the Westin Bonaventure Hotel, Los Angeles, California, USA.","Advances in Ergonomics in Design, Advances in Intelligent Systems and Computing 588.",10.1007/978-3-319-60582-1_86,,
80,130,,2017,"July 01, 2017","Springer International Publishing AG 2018. Proceedings of the 8th International Conference on Applied Human Factors and Ergonomics (AHFE 2017), July 17 – 21, 2017 at the Westin Bonaventure Hotel, Los Angeles, California, USA.","Advances in Ergonomics in Design, Advances in Intelligent Systems and Computing 588.",10.1007/978-3-319-60582-1_86,,
81,145,,2018,,,"Philippine Engineering Journal (PEJ) 2018; Vol. 39, No. 1, pp. 55-66.",,,
81,152,,2018,,,"Philippine Engineering Journal (PEJ) 2018; Vol. 39, No. 1, pp. 55-66.",,,
81,153,,2018,,,"Philippine Engineering Journal (PEJ) 2018; Vol. 39, No. 1, pp. 55-66.",,,
82,153,,2014,"June 01, 2014","6th International Conference on Human Factors and Ergoonomics and Affiliated Conferences 2014, Krakow, Poland, June 19-23, 2014",,,,
82,72,,2014,"June 01, 2014","6th International Conference on Human Factors and Ergoonomics and Affiliated Conferences 2014, Krakow, Poland, June 19-23, 2014",,,,
83,153,,2015,"August 21, 2015",,"AEESEAP, Bandung, Indonesia",,,
84,153,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 3432-3439",,,
84,121,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 3432-3439",,,
85,153,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp.3360-3367",,,
85,14,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp.3360-3367",,,
85,75,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp.3360-3367",,,
86,146,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 332-339",,,
86,153,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 332-339",,,
86,121,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 332-339",,,
87,153,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 3478-3485",,,
87,97,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 3478-3485",,,
88,146,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 340-345.",,,
88,153,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 340-345.",,,
88,75,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 340-345.",,,
89,145,,2016,,,"Advances in Safety Management and Human Factors, Vol. 491 (2016), pp. 495-501",,,
89,152,,2016,,,"Advances in Safety Management and Human Factors, Vol. 491 (2016), pp. 495-501",,,
89,153,,2016,,,"Advances in Safety Management and Human Factors, Vol. 491 (2016), pp. 495-501",,,
90,153,,2016,"May 13, 2016","IAIA 2016 International Conference, Nagoya Congress Center, Japan",,,,
90,59,,2016,"May 13, 2016","IAIA 2016 International Conference, Nagoya Congress Center, Japan",,,,
91,153,,2017,,,"Advances in the Human Side of Service Engineering,Springer International Publishing, Vol. 601 (2017), pp. 82-89",,,
91,86,,2017,,,"Advances in the Human Side of Service Engineering,Springer International Publishing, Vol. 601 (2017), pp. 82-89",,,
92,153,,2017,,,"Advances in the Human Side of Service Engineering,Springer International Publishing, Vol. 601 (2017), pp. 90-100",,,
